name	amount	cr
Reef Shark	2	0.5
Regular Orthoclath	1	16
Returned Drifter	2	0.25
Returned Sentry	3	1
Rhinoceros	2	2
Roc	1	11
Ront	1	0.5
Roper	2	5
Rubblebelt Stalker	1	0.5
Rug of Smothering	1	2
Sacred Stone Monk	1	0.5
Salamander	2	5
Sarcophagus Slime	1	5
Savid	1	0.5
Scarecrow	14	1
Shadow	3	0.5
Shadow Demon	2	4
Shadow Fey Guardian	3	4
Shadow Horror	2	9
Shadow Mastiff	2	2
Shatter Corpse	5	1
Shield Dwarf Guard	7	0.125
Shield Dwarf Noble	4	0.125
Shockerstomper	1	14
Shoosuva	1	8
Skeemo Weirdbottle	1	6
Skeletal Alchemist	1	0.5
Skeletal Swarm	1	2
Skeleton	4	0.25
Skeleton Cannoneer	2	2
Skeleton Commander	1	3
Skeleton Key	2	0.25
Skeleton Lord	1	9
Skeleton Rifler	5	0.5
Skeleton Warrior	2	5
Sken Zabriss	1	1
Skulk	3	0.5
Slaad Tadpole	1	0.125
Slithering tracker	1	3
Smoke Mephit	3	0.25
Snow Golem	1	3
Solar Dragon Wyrmling	1	3
Spawn of Kyuss	1	5
Spider King	1	1
Spirit	1	4
Sprite	2	0.25
Spy	2	1
Star Spawn Larva Mage	1	16
Stirge	9	0.125
Stomping Foot	4	0
Stone Giant	1	7
Strahd Zombie	9	1
Strahd, Master of Death House	1	15
Succubes	1	4
Swarm of Animated Books	1	0.25
Swarm of Bats	6	0.25
Swarm of Cranium Rats	5	5
Swarm of Emberbats	14	0.5
Swarm of Fire Dancers	1	7
Swarm of Spiders	1	0.5
Swarm of Stirges	4	2
Swarm of Zombie Limbs	2	1
Sword Spider	1	3
Sword Wraith Commander	2	8
Sword Wraith Warrior	5	3
Tabaxi Hunter	5	1
Tabaxi Minstrel	1	0.25
Tarkanan Assassin	1	2
Terracotta Warrior	3	1
The Abbot	1	10
The Lost	4	7
The Wretched	6	0.25
Thought Spy	2	1
Tomb Dwarf	1	3
Topaz Dragon Wyrmling	1	2
Tree Blight	1	7
Tribal Warrior	4	0.125
Tribal Warrior Spore Servant	4	0.5
Troglodyte	18	0.25
Troll	3	5
Troll Amalgam	1	17
Twig Blight	35	0.125
Umbral Vampire	3	7
Undead Soldier	4	3
Undying Soldier	9	2
Urban Ranger	2	3
Urwin Martikov	1	2
Vampirate	4	2
Vampire Spawn	7	5
Vampiric Jade Statue	2	8
Vampiric Mist	1	3
Vasilka	1	5
Venom Troll	1	7
Venomfang	1	8
Veteran	5	3
Vilnius	1	6
Vine Blight	5	0.25
Violet Fungus	1	0.25
Vrock	2	6
Warduke	1	5
Warlord	1	12
Water Weird	2	3
Werebat	1	2
Wereboar	1	4
Werewolf	1	3
Werewolf (Krallenhorde)	3	3
Werewolf Ravager	1	7
Whirling Chandelier	1	7
Wight Lifedrinker	5	3
Will-o’-Wisp	4	2
Willifort Crowelle	1	3
Winter Wolf	4	3
Witherbloom Professor of Decay	1	7
Witherbloom Professor of Growth	1	7
Withers	1	4
Wolf	6	0.25
Wolf of the Overworld	4	0.25
Wolf Reaver Dwarf	2	3
Wolfwere	2	4
Wolfwere Alpha	1	6
Wyvern	6	8
Xilonen	1	5
Yalaga Maladwyn	1	8
Yellow Musk Zombie	5	0.25
Yochlol	1	10
Young Hill Giant	2	0.5
Young Ogre Servant	1	0.5
Young Winter Wolf	5	1
Yuan-Ti Broodguard	2	2
Yuk Yuk	1	0.25
Zombie	3	0.25
Zombie Clot	1	6
Zombie Plague Spreader	5	4
Zombie Troll	2	4
